ID,Query,Response,Category,Context
1,"Hi, how can you help me?","Hello! I'm Comsats AI Bot, I'm here to assist you with information about admissions, courses, deadlines, and more. What would you like to know?",General Assistance,Casual greeting and introduction
2,What are the admission requirements?,"To apply, you'll need to submit your transcripts, test scores, a completed application form, and a personal statement.",Admission Requirements,General admission details
3,When is the last date to apply?,The deadline for submitting applications is November 30th for the fall semester and June 30th for the spring semester.,Deadlines,Application submission dates
4,Can I apply online?,"Yes, you can apply online through our website. Just fill out the application form and upload the necessary documents.",Application Process,Information about online applications
5,What degrees do you offer?,"We offer undergraduate, graduate, and doctoral degrees in fields like Computer Science, Business, Engineering, Medicine, and Humanities.",Program Information,List of available degree programs
6,What courses do you offer in Computer Science?,"We offer a range of Computer Science courses, including Artificial Intelligence, Data Science, Software Engineering, and Programming.",Course Offerings,Available courses in the department
7,How much is the tuition fee?,"The tuition fee for undergraduate programs is $15,000 per year, and for graduate programs, it starts at $20,000 per year.",Fees and Scholarships,Information on tuition fees
8,Are there any scholarships available?,"Yes, we offer a variety of scholarships based on academic merit, financial need, and extracurricular achievements.",Fees and Scholarships,Scholarship opportunities
9,How do I track my application status?,You can track your application status through our online portal using your application ID.,Application Process,Application status tracking
10,What is the minimum GPA requirement?,"The minimum GPA requirement for most programs is 3.0. For competitive programs, a higher GPA may be required.",Admission Requirements,GPA criteria for admissions
11,Do international students need to take the TOEFL?,"Yes, international students are required to submit TOEFL scores or equivalent as proof of English proficiency.",International Students,English language requirements
12,When do classes start for the fall semester?,"Classes for Fall 2024 begin on October 1, 2024. Spring 2025 starts on February 1, 2025. Check the academic calendar for future dates.",Academic Calendar,Class start dates
13,How do I apply for financial aid?,"You can apply for financial aid by completing the FAFSA form online, and we'll notify you of your eligibility.",Fees and Scholarships,Financial aid application process
14,What documents are needed for admission?,"Required documents include your transcripts, test scores, letters of recommendation, and a personal statement.",Admission Requirements,Required documents for admission
15,Can I transfer credits from another university?,"Yes, transfer credits are accepted after evaluation by the admissions office, but they must meet specific criteria.",Transfer Students,Information on transferring credits
16,How can I contact the admissions office?,You can contact us via email at admissions@university.edu or call our office at 123-456-7890.,Contact Information,Admissions office contact details
17,Is there an application fee?,"Yes, there is a non-refundable application fee of $50.",Application Process,Information about the application fee
18,What are the residency requirements?,Residency requirements vary by program. Please check our website for detailed information about the specific residency policies.,Admission Requirements,Residency requirements for different programs
19,Are there any campus tours available?,"Yes, campus tours are available every Friday. You can sign up through our website or contact the admissions office for special requests.",Campus Life,Information about campus tours
20,Do you offer part-time programs?,"Yes, part-time programs are available for certain degrees, especially for working professionals. Check with your specific program.",Course Offerings,Information about part-time study options
21,How long does it take to process an application?,It typically takes 4-6 weeks to process an application after all documents have been submitted.,Application Process,Application processing timeline
22,Can I defer my admission?,"Yes, you can request a deferral by contacting the admissions office before the semester starts.",Admission Requirements,Admission deferral policy
23,What is the deadline for Spring 2025 admissions?,"The deadline for Spring 2025 applications is August 30, 2024.",Deadlines,Application deadline for Spring 2025
24,Can you tell me the important semester dates?,"Sure! Fall 2024 starts on October 1, 2024. Spring 2025 begins on February 1, 2025. Fall 2025 begins on October 1, 2025, and Spring 2026 starts on February 1, 2026.",Academic Calendar,Important dates for upcoming semesters
25,What scholarships are available for international students?,We offer scholarships for international students based on academic performance and financial need. Please refer to the international student section for details.,Fees and Scholarships,Scholarships for international students
26,"Bye, thanks for the help!",You're welcome! Feel free to reach out anytime. Have a great day!,General Assistance,Conversational goodbye
27,"Okay, thanks!","No problem, happy to help! Let me know if you have any more questions.",General Assistance,Casual acknowledgement
28,Is there housing available for students?,"Yes, we offer both on-campus and off-campus housing options for students. You can apply through the housing office.",Campus Life,Housing availability and details
29,How do I schedule a visit to the campus?,You can schedule a campus visit online or by contacting our admissions office. We offer tours every Friday.,Campus Life,Scheduling campus visits
30,What programs do you offer in Business?,"We offer undergraduate and graduate programs in Business, including specializations in Marketing, Finance, Management, and Entrepreneurship.",Program Information,Business program details
31,Can I work while studying?,"Yes, many students work part-time while studying. We also offer work-study programs to help students gain experience while earning.",Campus Life,Information on working while studying
32,What is the student-teacher ratio?,"Our student-teacher ratio is 15:1, allowing for personalized attention and support in most classes.",Campus Life,Information about student-teacher ratio
33,"Hi there, can you tell me more about your university?","Hello! Sure, our university offers a wide range of programs across multiple disciplines like Computer Science, Business, Engineering, and more. How can I assist you?",General Assistance,Introduction to university offerings
34,What graduate programs do you offer?,"We offer graduate programs in several areas, including MBA, Data Science, Computer Science, Mechanical Engineering, and Biomedical Sciences.",Program Information,Graduate programs available
35,What’s the application process like for international students?,"International students need to submit their transcripts, TOEFL/IELTS scores, passport copies, and financial documents. The process can be completed online.",International Students,Application process for international students
36,Can you tell me when the Spring 2025 semester starts?,"Sure! Spring 2025 starts on February 1, 2025. If you're planning to apply, make sure to submit your application before the deadline.",Academic Calendar,Start dates for Spring 2025 semester
37,How many programs do you offer in total?,"We offer over 100 programs, including undergraduate, graduate, and doctoral degrees across fields like Business, Engineering, Arts, and Sciences.",Program Information,Total number of programs offered
38,Can I visit the campus on weekends?,"Unfortunately, campus tours are only available on Fridays. However, we can arrange special visits if needed. Feel free to contact the admissions office for details.",Campus Life,Information on weekend campus visits
39,Do you offer online courses or programs?,"Yes, we have a variety of online programs, especially for graduate and professional degrees. Check out our website for a full list of online offerings.",Program Information,Online course and program availability
40,What’s the weather like on campus?,"Our campus is located in a temperate climate, so expect warm summers and mild winters. It’s perfect for enjoying the outdoor spaces and activities!",Campus Life,Information on campus weather
41,What student clubs and organizations are available?,"We have over 50 student clubs and organizations, including tech clubs, cultural groups, sports teams, and volunteer opportunities.",Campus Life,Information about student clubs and organizations
42,Do you offer any accelerated degree programs?,"Yes, we offer several accelerated programs, including a 4+1 option where you can complete a bachelor's and master's degree in just five years.",Program Information,Details about accelerated degree programs
43,Can I change my major after enrolling?,"Yes, students can change their major after enrolling, but we recommend speaking with an academic advisor first to ensure a smooth transition.",Academic Policies,Information on changing majors
44,What’s your policy on gap years?,We understand students may need time before starting their studies. You can defer your admission for up to one year by contacting the admissions office.,Admission Requirements,Gap year policy
45,Do you offer evening or weekend classes?,"Yes, we offer evening and weekend classes for certain programs, especially for working professionals. Please check with your program of interest for availability.",Course Offerings,Evening and weekend class options
46,What’s the average class size?,"The average class size is around 25 students, which allows for more personalized interaction between students and professors.",Academic Policies,Information on class sizes
47,What are the deadlines for Fall 2025?,"The deadline for Fall 2025 applications is November 30, 2024, so be sure to submit your documents by then!",Deadlines,Application deadlines for Fall 2025
48,Can I get a double major?,"Yes, we allow students to pursue double majors. You'll need to consult with an academic advisor to ensure you can fulfill all the requirements in time.",Academic Policies,Information about pursuing a double major
49,What kind of support services do you offer for students?,"We offer a variety of student support services, including academic advising, career counseling, mental health services, and tutoring programs.",Campus Life,Overview of student support services
50,What are the internship opportunities like?,"We have strong partnerships with local and international companies, providing plenty of internship opportunities in various fields like tech, business, and healthcare.",Career Services,Information on internships and career opportunities
51,How can I find off-campus housing?,"You can contact our housing office for assistance with off-campus accommodations, and we also have an online platform to connect students with local listings.",Campus Life,Information on off-campus housing
52,Can I bring my car to campus?,"Yes, students are allowed to bring their cars to campus, and we offer parking permits. Please apply for a parking permit through the campus services office.",Campus Life,Information on parking and bringing cars to campus
53,What are the career services like?,"Our career services office provides career counseling, resume building workshops, job fairs, and connections with employers to help students secure internships and jobs.",Career Services,Overview of career services offered
54,Are there research opportunities for undergraduates?,"Yes, undergraduates can participate in research projects alongside faculty members, and we have research grants available for student-led projects.",Research Opportunities,Information on undergraduate research opportunities
